Produto;Quantia;Unidade;Categoria;Local;Data;Preco
Papel Aluminio;2;U;Comida;Mercado;23/03/2025;4,58
Nata;2;U;Comida;Mercado;23/03/2025;25,18
Morango;1;U;Comida;Mercado;23/03/2025;9,99
Ovo;1;U;Comida;Mercado;23/03/2025;25,90
Chocolate em Po;1;U;Comida;Mercado;21/03/2025;19,99
Mini Biscoito;1;U;Comida;Mercado;21/03/2025;10,89
Pasta de Amendoim;1;U;Comida;Mercado;21/03/2025;15,29
Leite;2;U;Comida;Mercado;03/03/2025;9,18
Cebola;0,82;Kg;Comida;Mercado;03/03/2025;2,03
Banana Caturra;2,05;Kg;Comida;Mercado;03/03/2025;8,16
